,address,lat,lng
64,18 Marina Boulevard,-27.96807999999993,153.42699000000005
65,Boat Quay / Raffles Place / Marina (D1),1.2876400000000672,103.84843000000006
66,88 Mergui Road,1.3178306870711225,103.85196935564835
67,7 One-North Gateway,46.31713505197182,-79.46455992267678
68,8 Tomlinson Road,-67.24999999999994,51.18333000000007
69,89 Rangoon Road,1.3180700000000343,103.85215000000005
70,28 Surrey Road,49.052827844602795,-122.7983593284778
71,1 Lorong 20 Geylang,1.3123929692955585,103.88150315912509
72,16 Enggor Street,1.2746179528881925,103.84431952789629
73,Hougang / Punggol / Sengkang (D19),,
74,25 Lorong 3 Toa Payoh,2.181670062422512,103.18877940572256
75,130 Thomson Road,22.277480000000025,114.17496000000006
76,3 Central Boulevard,1.1003100000000359,104.03362000000004
77,21 Lorong 3 Toa Payoh,2.181932040136039,103.18867865898521
78,231 Pasir Panjang Road,0.8443000000000325,108.88043000000005
79,33 Leonie Hill Road,1.2993575172961442,103.83325072183891
80,1 Taman Warna,5.998920000000055,102.01026000000007
81,11 Thomson Lane,44.06475778452852,-123.11724082692453
82,42 Keppel Bay Drive,48.2927099840216,11.07051001445879
83,111 Emerald Hill Road,1.3050600000000259,103.83924000000007
84,210 Depot Road,51.616250000000036,-3.7577499999999304
85,31 Cairnhill Circle,57.435253440000054,-2.7583398269999293
86,610 Telok Blangah Road,1.272466402162081,103.80781625574821
87,3 Serangoon North View,39.29541000000006,-80.35137999999995
88,9 Ardmore Park,39.99657000000008,-75.29884999999996
89,19 Mackenzie Road,1.304770000000076,103.84953000000007
90,233 River Valley Road,51.14365423833564,1.276944811286641
91,11 Mount Emily Road,46.62163975821103,-111.96258136912091
92,12 Bukit Batok Street 41,49.084475943343705,30.409394430075206
93,1 Holland Avenue,51.91903000000008,4.477450000000033
94,232 Commonwealth Avenue,-35.29442999999998,149.12680000000012
95,6 Cairnhill Rise,1.3069298962629006,103.83971618667232
96,101 Mergui Road,1.3179478241680016,103.85147046477135
97,11 Dairy Farm Heights,1.3658845570710838,103.77173761081497
98,1 Chwee Chian Road,,
99,80 Sophia Road,,
100,881 North Bridge Road,53.52906000000007,-1.1450899999999251
101,37 Amber Gardens,22.26457010000007,114.18844230000002
102,11C Balmoral Road,53.387860000000046,-2.3431399999999485
103,6 Marina Boulevard,-27.96807999999993,153.42699000000005
104,70 Shenton Way,40.74254593398511,-98.78840021147883
105,9 Cairnhill Road,57.435253440000054,-2.7583398269999293
106,5 Sarkies Road,1.3136992050864222,103.8367592188701
107,2 Sing Joo Walk,50.44572000000005,6.102460000000065
108,2 Sims Drive,60.30940000000004,5.322120000000041
109,121 Tanjong Rhu Road,1.2969015777562305,103.87455581867812
110,18 Tong Watt Road,,
111,3 Lorong 35 Geylang,3.492200013013644,103.39328998857798
112,180 Bencoolen Street,1.30163232390845,103.85334264666466
