amenities,built_year,detailed_address,developer,district,facing,floor_level,furnishing,link,mrt_distance,mrt_name,name,neighbourhood,overlooking_view,picture_url,price/sqft,price_month,property_type,sqft,tenure,total_units,unit_types,bedrooms,bathrooms
"['Aircon', 'High ceiling', 'Stove', 'Jacuzzi', 'Dryer', 'Oven', 'High floor', 'Washer', '', '', '']",2016,38 Scotts Road,Far East Success,Orchard / River Valley (D9),,High (31 total),Partial,https://www.99.co/singapore/rent/property/the-scotts-tower-condo-9cQjt9nTSreP6nDvVfYy7b#enquiry_position_22#enquiry_source_Search,10 min (384 m) from ,Newton MRT,The Scotts Tower,Newton,,https://pic.99.co/v3/Axg7mmbgmTAPFaF5JjgY99?width=2400&mode=fill&text=Julian+Lee&sampling=lanczos&quality=80&version=1&signature=f6c35d60fd7e0b12f7dbda06791374e947802030,$8.21 psf,"$6,900/mo",Condo Whole Unit,840,103 Years,231,"Studio, 1, 2, 3, 5 BR",2,2
"['Security', 'Renovated', 'Aircon', 'Tv', 'Sofa', 'Greenery view', 'Fridge', 'Bed', '', '', '', '', '', '', '', '', '', '', '', '']",2012,356 Alexandra Road,Ec Prime Pte Ltd,Alexandra / Commonwealth (D3),,Mid (6 total),Fully,https://www.99.co/singapore/rent/property/alexis-condo-buPijYZmcFpAccPGTTjNpa#enquiry_position_23#enquiry_source_Search,10 min (380 m) from ,Queenstown MRT,Alexis,Queenstown,Greenery view,https://pic.99.co/v3/UZ6TeZqcqdS9BsuGT4q9Kd?width=2400&mode=fill&text=Jasmine+Tan&sampling=lanczos&quality=80&version=1&signature=d6cc775bcdd998a0c3854df3afdce43b00bf9ad6,$5.42 psf,"$3,500/mo",Condo Whole Unit,646,Freehold,293,"Studio, 1, 2, 3, 5 BR",2,1
"['Pavilion', 'Hammocks', 'Reflexology path', 'Tennis court', 'Steam room', 'Playground', 'Fitness corner', 'Lap pool', '', '']",2021,91 West Coast Vale,China Construction Development Co. Pte Ltd,Buona Vista / West Coast / Clementi (D5),North South,,Flexible,https://www.99.co/singapore/rent/property/twin-vew-condo-d5gpYzeARmyKWbKQnNreBZ#enquiry_position_24#enquiry_source_Search,,,Twin VEW,Clementi,,https://pic.99.co/v3/iekA4vYswbG99iAyoCssPA?width=2400&mode=fill&text=Ivan+Goh&sampling=lanczos&quality=80&version=1&signature=6b5de33099e12eea98d7bd1135a7da94f12bcaf0,$4.31 psf,"$3,899/mo",Condo Whole Unit,904,99 Years,520,"Studio, 1, 2, 3, 4, 5, 6 BR",3,2
"['Duplex / maisonette', 'Water feature', 'High ceiling', 'Function room', 'Oven', 'Parking', 'Outdoor dining', 'Balcony', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2010,22 Saint Thomas Walk,Tg Development Pte Ltd,Orchard / River Valley (D9),,High (31 total),Partial,https://www.99.co/singapore/rent/property/skypark-condo-HUVz2eJiNq3R4vv5gt5Mk4#enquiry_position_25#enquiry_source_Search,10 min (421 m) from ,Somerset MRT,Skypark,River Valley,City view,https://pic.99.co/v3/GGPNnaW2NCqHnuWCY55iLg?width=2400&mode=fill&text=Gerald+Fong+YW&sampling=lanczos&quality=80&version=1&signature=b4d5956d2883ff803592b12a80e298e7faed800e,$5.38 psf,"$18,000/mo",Condo Whole Unit,"3,347",Freehold,29,"3, 4, 5 BR",4,4
"['Clubhouse', 'Water feature', 'Stove', 'Oven', 'Parking', 'Balcony', 'Bomb shelter', 'Wading pool', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2010,59 Meyer Road,Capitaland Residential Ltd,East Coast / Marine Parade (D15),,Ground (24 total),Partial,https://www.99.co/singapore/rent/property/the-seafront-on-meyer-condo-xGPTXvzyCrRh99xkgS8wm3#enquiry_position_26#enquiry_source_Search,,,The Seafront On Meyer,Marine Parade,Pool view,https://pic.99.co/v3/RH5uC6AapNyYUQkwmmaMLb?width=2400&mode=fill&text=Ng+Fifi+%40+90297981&sampling=lanczos&quality=80&version=1&signature=5a8d56d496660f263c748175e400801ce8fee250,$3.65 psf,"$9,500/mo",Condo Whole Unit,"2,605",Freehold,327,"2, 3, 4, 5 BR",4,4
"['City view', 'Oven', 'Aircon', 'Water feature', 'High ceiling', 'Gym', 'Pool deck', 'Fridge', '', '', '', '', '', '', '', '', '', '', '']",2021,10 Martin Place,Guocoland / First Bedok Land Pte Ltd,Orchard / River Valley (D9),,High (30 total),Partial,https://www.99.co/singapore/rent/property/martin-modern-condo-EvwfktumzCmToSpsdRepVQ#enquiry_position_27#enquiry_source_Search,25 min (2454 m) from ,Somerset MRT,Martin Modern,River Valley,City view,https://pic.99.co/v3/9ow87XD5yFQ8xzsFLgF2gn?width=1200&mode=fill&text=Dennis+Kwok+T+Y&sampling=lanczos&quality=80&version=1&signature=9fb8b0da107352d4c6d6bff7da621a1e0231930e,$7.46 psf,"$5,700/mo",Condo Whole Unit,764,99 Years,450,"Studio, 1, 2, 3, 4, 5 BR",2,2
"['City view', 'Renovated', 'Gym', 'Bomb shelter', 'Lounge', 'Swimming pool', 'Jacuzzi', 'Mid floor', '', '']",2015,61 Cairnhill Circle,,Orchard / River Valley (D9),,Mid (18 total),Partial,https://www.99.co/singapore/rent/property/the-peak-cairnhill-ii-condo-BguvVdSucrCwHwxQX7Y7oT#enquiry_position_28#enquiry_source_Search,10 min (482 m) from ,Newton MRT,The Peak @ Cairnhill II,Newton,City view,https://pic.99.co/v3/RcZ9AAqFar7ZeY5KkeyUka?width=2400&mode=fill&text=Gerald+Fong+YW&sampling=lanczos&quality=80&version=1&signature=9d95ed5621c927a33faca99c4d684d637d5301ce,$5.07 psf,"$4,200/mo",Condo Whole Unit,829,Freehold,62,"1, 2 BR",2,2
"['High ceiling', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', 'Bomb shelter', 'Closet', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2010,16 Mount Elizabeth,Cairnhill Development Pte Ltd,Orchard / River Valley (D9),North South,High (17 total),Fully,https://www.99.co/singapore/rent/property/rhapsody-on-mount-elizabeth-condo-6LvqhMCvRdUyukNVsHcpz7#enquiry_position_29#enquiry_source_Search,10 min (491 m) from ,Orchard MRT,Rhapsody On Mount Elizabeth,Newton,City view,https://pic.99.co/v3/TCs7kczW8y6bE73YiSZDe3?width=2400&mode=fill&text=eric+yam&sampling=lanczos&quality=80&version=1&signature=64023b7d3490d52cd25a74360214906c5b541f50,$4.89 psf,"$5,100/mo",Apartment Whole Unit,"1,044",Freehold,32,"2, 3, 4 BR",2,3
"['City view', 'Security', 'Renovated', 'Aircon', 'Water feature', 'Gym', 'Pool deck', 'Fridge', '', '', '', '', '', '', '', '', '', '', '']",2021,8 Martin Place,Guocoland / First Bedok Land Pte Ltd,Orchard / River Valley (D9),North,,Partial,https://www.99.co/singapore/rent/property/martin-modern-condo-GT3tFUVrCTBetCeVGWtwcQ#enquiry_position_30#enquiry_source_Search,25 min (2454 m) from ,Somerset MRT,Martin Modern,River Valley,City view,https://pic.99.co/v3/8k4Gc7W7H9r5Uj4Vmhudxb?width=2400&mode=fill&text=Eric+Yeo+8138+8081&sampling=lanczos&quality=80&version=1&signature=47bfa0c3fa878b41c203e0f2aa8d788af42f464a,$7.2 psf,"$5,499/mo",Condo Whole Unit,764,99 Years,450,"Studio, 1, 2, 3, 4, 5 BR",2,2
"['Clubhouse', 'Stove', 'Walk in closet', 'Jacuzzi', 'Oven', 'Parking', 'Games room', 'Bomb shelter', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2004,11 Evelyn Road,Setia Pte Ltd,Newton / Novena (D11),North,High,Partial,https://www.99.co/singapore/rent/property/setia-residences-condo-rtRyMinjA7yDL5nfqafKzQ#enquiry_position_31#enquiry_source_Search,10 min (437 m) from ,Newton MRT,Setia Residences,Novena,City view,https://pic.99.co/v3/jCbn5KcMnYgUPBi26oPeCF?width=2400&mode=fill&text=Alfred+Ng&sampling=lanczos&quality=80&version=1&signature=e39b2e864ae1ea8cf3a19d00c31b7ffaa3326b9e,$4.03 psf,"$13,500/mo",Apartment Whole Unit,"3,347",Freehold,24,"4, 5 BR",4,5
"['Ground floor', 'Function room', 'Pavilion', 'Sky lounge', 'Aircon', 'Swimming pool', 'High ceiling', 'Yoga corner', '', '', '', '', '', '', '', '', '', '', '', '', '']",2021,231C Pasir Panjang Road,Oxley Holdings Limited,Buona Vista / West Coast / Clementi (D5),,Ground (5 total),Partial,https://www.99.co/singapore/rent/property/the-verandah-residences-condo-4ymdpbG3uGgNZXSxbfwmjm#enquiry_position_32#enquiry_source_Search,10 min (472 m) from ,Haw Par Villa MRT,The Verandah Residences,Queenstown,Greenery view,https://pic.99.co/v3/ESob7hw2RS7YTB9FmdjevP?width=2400&mode=fill&text=Danny+Wong&sampling=lanczos&quality=80&version=1&signature=db62ee2095d51477ba8048781039b184659ef914,$3.59 psf,"$7,800/mo",Condo Whole Unit,"2,174",Freehold,170,"1, 2, 3, 4 BR",4,4
