address,lat,long,cluster_label
"Sinaran Drive, Singapore",1.320026169917651,103.84423422533,2
"Poh Huat Road, Singapore",1.366477089134612,103.88239397623914,-1
"Central Boulevard, Singapore",1.2775104043512195,103.85581043276464,0
"Hillview Avenue, Singapore",1.362120341387743,103.76470093805878,2
"Leonie Hill Road, Singapore",1.298055273971835,103.8336824778355,3
"Clemenceau Avenue North, Singapore",1.3094824852964189,103.83969660259078,-1
"Orchard Road, Singapore",1.2985755088964572,103.84867586013546,-1
"Faber Heights, Singapore",1.322813724605694,103.75685781222587,2
"Toh Tuck Road, Singapore",1.3397011704621893,103.76595600301492,0
"Depot Road, Singapore",1.2818373478222052,103.80881824352912,0
"West Coast Park, Singapore",1.2931200000000445,103.76551000000006,0
"Telok Blangah Road, Singapore",1.2667303521115765,103.8270398691788,3
"Jalan Eunos, Singapore",1.3208400000000324,103.89980000000008,2
,18.776095735718457,100.77393496801147,5
"Rangoon Road, Singapore",1.3154428379285197,103.85356537483868,5
"Oxley Walk, Singapore",1.2972040798008355,103.84239735061504,5
"Cavenagh Road, Singapore",1.3074739690870731,103.84157481034964,3
"Claymore Road, Singapore",1.3079196013121708,103.8296877708058,2
"Holland Avenue, Singapore",1.3089591381708516,103.79506652974877,2
"Wilkie Road, Singapore",1.3027069747490256,103.84768446635596,5
"Dairy Farm Heights, Singapore",1.3647550850555374,103.77338847301192,0
"Stirling Road, Singapore",1.2920974306404194,103.80474414113984,2
"Lorong Limau, Singapore",1.3240383887869136,103.85503360702248,2
"Suffolk Road, Singapore",1.3143826445165914,103.84452480070505,5
"Tanjong Rhu Road, Singapore",1.2971160380803626,103.87235359312102,0
"Lorong Chuan, Singapore",1.3636029710925983,103.86737896222552,1
"Rochester Drive, Singapore",1.306023743127533,103.78865680086189,5
"Bukit Batok Street , Singapore",1.354505527986176,103.75182006100964,-1
"Cairnhill Rise, Singapore",1.3078624598954476,103.83937274568164,2
"Alexandra View, Singapore",1.290526478144381,103.81657585829984,2
"Bukit Batok Central Link, Singapore",1.3495427040350223,103.74885907556298,5
"Commonwealth Avenue, Singapore",1.2996661668838951,103.80120722255552,5
"Butterworth Lane, Singapore",1.3124602969328194,103.89520304458924,-1
"Lloyd Road, Singapore",1.297858806989575,103.83850501876852,-1
"Jalan Mat Jambol, Singapore",1.277476414399331,103.79158082975373,2
"Simei Street , Singapore",1.3434261252916524,103.9586269151538,0
"Yishun Central , Singapore",1.4266343044803036,103.84066273724407,5
"Serangoon Avenue , Singapore",1.3538900000000351,103.86761000000008,-1
"Dalvey Road, Singapore",1.315224743214822,103.8240402989812,2
"Balmoral Road, Singapore",1.3153235284207916,103.83271924286498,-1
