,address,lat,long
142,"Dalvey Road, Singapore",1.315224743214822,103.8240402989812
143,"Balmoral Road, Singapore",1.3153235284207916,103.83271924286498
144,"Oei Tiong Ham Park, Singapore",1.3152800000000298,103.79389000000003
145,"Keppel Bay View, Singapore",1.268463575192569,103.81437526216126
146,"Irrawaddy Road, Singapore",1.3231906987919937,103.84567066600879
147,"Lakeside Drive, Singapore",1.3426614221653321,103.720145775943
148,"Jalan Rajah, Singapore",1.3275257642422853,103.85242415536388
149,"Sophia Road, Singapore",1.3025363480048475,103.84660618137013
150,"Tong Watt Road, Singapore",1.2930420488721497,103.84017939319843
151,"Taman Warna, Singapore",1.310199415419845,103.79813401840356
152,"West Coast Road, Singapore",1.3116310720008115,103.75660241340712
153,"Bukit Timah Road, Singapore",1.3355635726825812,103.7843280580905
154,"Farrer Road, Singapore",1.311164298021336,103.80364622302314
155,"Paterson Road, Singapore",1.3013316085590778,103.82938350349056
156,"Essex Road, Singapore",1.317190175434523,103.84512577638891
157,"Mount Sinai Drive, Singapore",1.3183384556099504,103.77928089172367
158,"Jalan Hajijah, Singapore",1.3128912687917274,103.93571485839979
159,"Balestier Road, Singapore",1.3186725041420257,103.85471363666701
160,"Robertson Quay, Singapore",1.2910116241881366,103.8376115571278
161,"Geylang East Avenue , Singapore",1.3171292453987302,103.88537361434503
162,"Telok Kurau Road, Singapore",1.3124854861400859,103.91078142463982
163,"Hillside Drive, Singapore",1.3573366440878778,103.8778863206976
164,"Meyappa Chettiar Road, Singapore",1.3309250392283942,103.8676230480909
165,"Mount Sinai Rise, Singapore",1.3154012154628634,103.77861174012016
166,"Dover Rise, Singapore",1.3048438239612103,103.78484756126608
167,"Foo Kim Lin Road, Singapore",1.3286849987362765,103.906901367066
168,"Niven Road, Singapore",1.3030796144903949,103.84952779812113
169,"Pasir Panjang Hill, Singapore",1.2812271897542402,103.78582186849616
170,"Petain Road, Singapore",1.3123032863553767,103.85799133654551
171,"Punggol Central, Singapore",1.4064148641090886,103.89726771421815
172,"Leonie Hill, Singapore",1.2982343710895536,103.83171297402583
173,"Kallang Road, Singapore",1.3097385093655916,103.86791774092558
174,"Upper Changi Road East, Singapore",1.348723644847405,103.96360266681664
175,"Buckley Road, Singapore",1.3183713530892216,103.84070703820602
176,"Jurong West Central , Singapore",1.3430805777934895,103.70573828212002
177,"Canberra Drive, Singapore",1.4451860706598507,103.82598589511878
178,"Walshe Road, Singapore",1.3125459999178184,103.82753670882136
179,"Bencoolen Street, Singapore",1.300047342628928,103.85130184964511
180,"Gateway Drive, Singapore",1.3359179382811885,103.74126368565823
181,"Tanah Merah Kechil Link, Singapore",1.328201441770066,103.94526855177739
182,"Edgedale Plains, Singapore",1.3983243847880555,103.90697406713498
183,"Ocean Drive, Singapore",1.2491423243593212,103.84671363736273
184,"Lim Tua Tow Road, Singapore",1.3546595213645092,103.87622303357004
185,"Clemenceau Avenue, Singapore",1.290382245674703,103.84224697367652
186,"West Coast Crescent, Singapore",1.297926868179803,103.76570307571639
187,"Jalan Bukit Ho Swee, Singapore",1.2872430876541558,103.83079379389399
188,"Stevens Road, Singapore",1.32017782950782,103.82544574505903
189,"Jalan Jurong Kechil, Singapore",1.3418897845861726,103.7710253055352
190,"The Knolls, Singapore",1.2494800000000623,103.82437000000004
191,"Club Street, Singapore",1.2824700000000462,103.84633000000008
192,"Moulmein Rise, Singapore",1.3189362407679863,103.84750950946002
193,"Wolskel Road, Singapore",1.3469791861962253,103.86965436765661
194,"Ridgewood Close, Singapore",1.3173464226151594,103.77823278949512
195,"Beatty Road, Singapore",1.3139792384858533,103.85850869602861
196,"Woodlands Road, Singapore",1.4233352334286122,103.75745247253174
197,"Lorong Sarhad, Singapore",1.2804754479342733,103.78804044562656
198,"Paterson Hill, Singapore",1.3008492229504562,103.82932915844438
199,"Kim Keat Road, Singapore",1.3267063765765865,103.85494431452226
200,"Jalan Loyang Besar, Singapore",1.3786835379714903,103.96086723977375
201,"Jalan Mutiara, Singapore",1.2965512174361289,103.8284240064863
202,"Yio Chu Kang Road, Singapore",1.370015803008525,103.87475425280083
203,"Keppel Bay Drive, Singapore",1.2657416393307115,103.81621402197308
204,"Pine Grove, Singapore",1.3181165518789157,103.77482969489637
205,"Jervois Close, Singapore",1.2927346709797234,103.82435918868744
206,"Tomlinson Road, Singapore",1.3043320510371537,103.82580674666447
207,"Choa Chu Kang North , Singapore",1.3919372223373725,103.74647558250197
208,"Hillview Rise, Singapore",1.3624873998998137,103.76389506647985
209,"Anchorvale Crescent, Singapore",1.3985408043895298,103.89337167988003
210,"Tan Quee Lan Street, Singapore",1.2984525441650518,103.85674213704502
211,"Craig Road, Singapore",1.278432375327316,103.84190126144756
212,"Jalan Novena Barat, Singapore",1.3230320739193147,103.84230759516572
213,"Ipoh Lane, Singapore",1.3117322448230055,103.89537156275256
214,"Fernhill Road, Singapore",1.3132929189863705,103.82354967672097
215,"Upper Bukit Timah Road, Singapore",1.3389979957941665,103.77686460571867
216,"Boon Teck Road, Singapore",1.3271913555291455,103.85029405869898
217,"Fernvale Close, Singapore",1.3944347032734175,103.88014161221776
218,"Cashew Road, Singapore",1.3707129071239967,103.76612626250282
219,"Leicester Road, Singapore",1.3300236111180936,103.86727718350815
220,"West Coast Way, Singapore",1.316130392358066,103.75571317781724
221,"North Bridge Road, Singapore",1.2992191742769412,103.85588069620046
222,"Mistri Road, Singapore",1.2739719011796518,103.84607576186788
223,"Petir Road, Singapore",1.3778529785622808,103.76355773644195
224,"Kampong Eunos, Singapore",1.3208300000000577,103.91778000000005
225,"Ah Hood Road, Singapore",1.3281638285720323,103.84758409323635
226,"Bedok Ria Crescent, Singapore",1.3274974752632722,103.9519717323789
227,"Tampines Road, Singapore",1.362349384633056,103.89247372927724
228,"Keppel Road, Singapore",1.2724179759153582,103.83980755931988
229,"Rhu Cross, Singapore",1.293315850718225,103.87097797242954
230,"Jervois Road, Singapore",1.2947082149619402,103.81966100909372
231,"Hougang Avenue , Singapore",1.371240000000057,103.89162000000005
232,"Hume Avenue, Singapore",1.3577564568859652,103.76661518608161
233,"Tan Kim Cheng Road, Singapore",1.3217633958273942,103.8120821832612
234,"Kim Tian Road, Singapore",1.2847827282975044,103.82946256040631
235,"Duchess Road, Singapore",1.323634102691804,103.8074024820244
236,"Dunearn Road, Singapore",1.3179635476567024,103.83494065606943
237,"Sing Joo Walk, Singapore",1.3149065972840859,103.85497875225497
238,"Jalan Kemaman, Singapore",1.326768630038309,103.850648305125
239,"Sin Ming Road, Singapore",1.355700150466888,103.83760870868345
240,"Lorong Marican, Singapore",1.3223560747877026,103.90833634859572
241,"Bedok North Drive, Singapore",1.3253990940850275,103.92887049221885
242,"Surrey Road, Singapore",1.3160018633676276,103.84238096277687
243,"Arnasalam Chetty Road, Singapore",1.291692748801644,103.83863819010492
244,"Kim Seng Road, Singapore",1.2927264114674004,103.83323051234572
245,"Mount Emily Road, Singapore",1.3047328390672475,103.84861487008085
246,"Sarkies Road, Singapore",1.3141624728749335,103.83670092273348
247,"Cactus Road, Singapore",1.3900525527429886,103.850885815444
248,"Race Course Lane, Singapore",1.3103542835092112,103.85236119034596
249,"Lorong How Sun, Singapore",1.3443678888120578,103.8804738966533
250,"Yuan Ching Road, Singapore",1.3357100491464942,103.72507795318454
251,"Fernvale Lane, Singapore",1.3895526196603711,103.87012776484275
252,"Cuscaden Road, Singapore",1.3048419818084787,103.82595782411971
253,"Ridley Park, Singapore",1.2972165277680432,103.81400285466293
254,"Fernvale Road, Singapore",1.3932974872195731,103.87582716866856
255,"Choa Chu Kang Loop, Singapore",1.3852416449722773,103.74311973837915
256,"Verdun Road, Singapore",1.309797615454927,103.85597508753511
257,"Kinta Road, Singapore",1.3106783160878264,103.8528447517407
258,"Draycott Park, Singapore",1.311254130086895,103.83083159211796
259,"Opal Crescent, Singapore",1.3280120747976278,103.86692733199513
260,"Pasir Panjang Close, Singapore",1.2919672284913244,103.77213393336858
261,"Siglap Road, Singapore",1.3152189731264237,103.92266448199827
262,"Bukit Drive, Singapore",1.3474192610227504,103.7750886479526
263,"Indus Road, Singapore",1.2900287976638232,103.82959622552298
264,"Owen Road, Singapore",1.3117800147765843,103.85467041709799
265,"Minbu Road, Singapore",1.3242426562890393,103.84921287359288
266,"Tiong Bahru Road, Singapore",1.2859017184788908,103.83038148406422
267,"Sea Avenue, Singapore",1.3052879217907352,103.90726606637637
268,"Serangoon Road, Singapore",1.3076686457926867,103.85257590696551
269,"Lorong L Telok Kurau, Singapore",1.311177572380366,103.90814210470214
270,"Pari Dedap Walk, Singapore",1.331680334742925,103.94236113078146
271,"Eu Tong Sen Street, Singapore",1.2832682674948137,103.84242871839474
272,"Jalan Merlimau, Singapore",1.323151713187613,103.84084111331676
273,"Miltonia Close, Singapore",1.4181189009602655,103.8470725377325
274,"Whampoa East, Singapore",1.3210495153250208,103.86458935725697
275,"Draycott Drive, Singapore",1.309896332195547,103.83141263588931
276,"Lengkong Empat, Singapore",1.328190833290765,103.91283929453414
277,"Jalan Lempeng, Singapore",1.3190165984217854,103.76030414912341
278,"Joo Chiat Road, Singapore",1.3097131621434073,103.9021731103309
279,"Jalan Datoh, Singapore",1.3280635345087728,103.84298991606914
280,"Ang Mo Kio Central , Singapore",1.3622800000000552,103.85459000000009
281,"Jalan Sultan, Singapore",1.302964557067423,103.8614472984165
282,"Amber Gardens, Singapore",1.3014981016424338,103.89952606901215
283,"Claymore Hill, Singapore",1.3075411360078826,103.83148513578475
284,"Koon Seng Road, Singapore",1.3118849069555971,103.9040640749018
285,"Pasir Ris Street , Singapore",1.375848795407001,103.93697351078626
286,"Mohamed Sultan Road, Singapore",1.2921329935541135,103.84076847416932
287,"Marymount Terrace, Singapore",1.3502588290293327,103.84021589199884
288,"Swiss View, Singapore",1.3470183052900357,103.78980909870158
289,"Flora Road, Singapore",1.3599076529292755,103.96510102133749
290,"Jalan Jintan, Singapore",1.3057669910163483,103.83442133843639
291,"Cuscaden Walk, Singapore",1.304047056554312,103.82912151545388
292,"Chancery Lane, Singapore",1.3205374262592773,103.83695025342124
293,"Faber Walk, Singapore",1.3214676171172632,103.75429194149082
294,"Loyang Avenue, Singapore",1.3853681097439667,103.97839541117412
295,"Queensway, Singapore",1.296480569313264,103.79981538852024
296,"Jalan Masjid, Singapore",1.3198504511995075,103.91240316023848
297,"Saint Michael, Singapore",1.3255347085259195,103.86431864567915
298,"Anderson Road, Singapore",1.3123550080932707,103.82858411349609
299,"Holland Hill, Singapore",1.310120451677861,103.80071108961425
300,"Jalan Rajawali, Singapore",1.3432511334121187,103.76804651952871
301,"Saint Patrick, Singapore",1.3085684578706145,103.91507302405134
302,"Akyab Road, Singapore",1.3229177569113408,103.848110741989
303,"Still Road, Singapore",1.3131996693449717,103.90675671754707
304,"Tampines Central , Singapore",1.3504800000000614,103.93626000000006
305,"Stevens Drive, Singapore",1.3170549809551182,103.8270707252239
306,"Clementi Avenue , Singapore",1.3143800000000283,103.76537000000008
307,"Rodyk Street, Singapore",1.2915286927758554,103.83834363850227
308,"Marine Parade, Singapore",1.3030600000000732,103.90778000000006
309,"Woodsville Close, Singapore",1.329751864232516,103.86796891669785
310,"Jellicoe Road, Singapore",1.3078452429524274,103.86212742733589
311,"Lorong Ampas, Singapore",1.3261754352193222,103.85293559908143
312,"Still Road South, Singapore",1.3033382756748086,103.9104880271309
313,"Woodlands Drive , Singapore",1.4382937485140477,103.78412920734044
314,"Jalan Merah Saga, Singapore",1.3120981603836699,103.79837282008124
315,"Pasir Ris Link, Singapore",1.3770725011027496,103.96045797365454
316,"Pasir Ris Heights, Singapore",1.3815978359195347,103.94344800562543
317,"Simei Rise, Singapore",1.347595800030068,103.95919364521869
318,"Aljunied Road, Singapore",1.3193522436665923,103.88184384272508
319,"Onan Road, Singapore",1.3100621963629255,103.90113098581591
320,"Chestnut Avenue, Singapore",1.371189994973034,103.78167060402464
321,"Dundee Road, Singapore",1.2948526832925187,103.80716516111939
322,"Cantonment Road, Singapore",1.2761288596461031,103.84081324041635
323,"Pasir Ris Drive , Singapore",1.366639852162459,103.96367638140734
324,"Balmoral Crescent, Singapore",1.315474804106158,103.83471873490944
325,"Sunshine Terrace, Singapore",1.345319557630134,103.87259395042088
326,"Sunset Way, Singapore",1.3213400000000206,103.77077000000008
327,"Keng Chin Road, Singapore",1.3177773708622664,103.8304725817688
328,"Mount Sinai Lane, Singapore",1.315719705996103,103.7853741157184
329,"Upper Circular Road, Singapore",1.288729012612599,103.8482262491473
330,"Bedok Rise, Singapore",1.3255700783071112,103.94670667539805
331,"Mount Vernon Road, Singapore",1.3430687232609202,103.87902416935142
332,"Bideford Road, Singapore",1.3035331131032002,103.8366525763544
333,"Suffolk Walk, Singapore",1.3152556406870772,103.84456230972174
334,"Jurong West Avenue , Singapore",1.3485615937034179,103.7073974717094
335,"Gambir Walk, Singapore",1.3444479315394036,103.87498973430446
336,"Upper Serangoon View, Singapore",1.3749192101080652,103.90313043888023
337,"Jurong East Street , Singapore",1.3298714002007386,103.74553380784718
338,"Elias Road, Singapore",1.379251693925826,103.9416457133965
339,"Saint Francis Road, Singapore",1.325054208771825,103.8639152438973
340,"Meyer Place, Singapore",1.298635458247098,103.88648967905274
341,"Lew Lian Vale, Singapore",1.3493419700997578,103.87801934679877
342,"Chay Yan Street, Singapore",1.2825635966984457,103.83109272765783
343,"Ford Avenue, Singapore",1.314283953633213,103.79603343995974
344,"Fifth Avenue, Singapore",1.3291312690955195,103.79585947961787
345,"Tampines Avenue , Singapore",1.3669993288732882,103.92709817746953
346,"Jalan Lokam, Singapore",1.3465849814060777,103.88424106060958
347,"Pheng Geck Avenue, Singapore",1.33144567938559,103.86992731148422
348,"Tiong Poh Road, Singapore",1.2831735446903263,103.83330020221287
349,"Chancery Hill Road, Singapore",1.3247740307110711,103.83891064925893
350,"Jelebu Road, Singapore",1.3803977552168218,103.76365960900469
351,"Hullet Road, Singapore",1.3032935091881808,103.83856670523191
352,"Choa Chu Kang Street , Singapore",1.3946818457556345,103.7484676461795
353,"Woodgrove Drive, Singapore",1.4290034422324003,103.78179076229512
354,"Jurong East Avenue , Singapore",1.3467814069012825,103.7316347865534
355,"Arcadia Road, Singapore",1.3335577205697147,103.81234386062476
356,"Robinson Road, Singapore",1.2796278774539722,103.84928402526049
357,"Ewe Boon Road, Singapore",1.3169242706722388,103.82979866444761
358,"Haig Road, Singapore",1.3094519809242553,103.89774565619079
359,"Bedok Reservoir Road, Singapore",1.3370306028953387,103.92163939327091
360,"Kim Yam Road, Singapore",1.2952323540454924,103.83875344111229
361,"Tembeling Road, Singapore",1.3095937280411085,103.90347545498416
362,"Zion Close, Singapore",1.2931500230865416,103.83095203274884
363,"Cove Drive, Singapore",1.239770200484522,103.83409473716407
364,"Ceylon Road, Singapore",1.3084203954344096,103.90074671006943
365,"West Coast Walk, Singapore",1.3089326502080447,103.76089879869794
366,"Orchard Turn, Singapore",1.3016001764356784,103.83517418343939
367,"Lorong Mydin, Singapore",1.3203442575060507,103.91146355596484
368,"Youngberg Terrace, Singapore",1.3397707866469948,103.86985975483955
