pk,category,subid,main_category
75,Asian Restaurant,4bf58dd8d48988d142941735,Food
76,Indian Restaurant,4bf58dd8d48988d10f941735,Food
76,Food Court,4bf58dd8d48988d120951735,Food
76,Noodle House,4bf58dd8d48988d1d1941735,Food
76,Residential Building (Apartment / Condo),4d954b06a243a5684965b473,Not A Match
76,Grocery Store,4bf58dd8d48988d118951735,Shop & Service
76,Shopping Mall,4bf58dd8d48988d1fd941735,Shop & Service
76,Malay Restaurant,4bf58dd8d48988d156941735,Food
76,Kids Store,4bf58dd8d48988d105951735,Shop & Service
76,Flea Market,4bf58dd8d48988d1f7941735,Shop & Service
76,Bus Station,4bf58dd8d48988d1fe931735,Not A Match
77,Park,4bf58dd8d48988d163941735,Outdoors & Recreation
77,Trail,4bf58dd8d48988d159941735,Outdoors & Recreation
77,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761,Food
77,Big Box Store,52f2ab2ebcbc57f1066b8b42,Shop & Service
77,Vegetarian / Vegan Restaurant,4bf58dd8d48988d1d3941735,Food
77,Food Court,4bf58dd8d48988d120951735,Food
77,Food Court,4bf58dd8d48988d120951735,Food
77,Gym / Fitness Center,4bf58dd8d48988d175941735,Outdoors & Recreation
77,Gym / Fitness Center,4bf58dd8d48988d175941735,Outdoors & Recreation
77,Drugstore,5745c2e4498e11e7bccabdbd,Shop & Service
77,Indonesian Restaurant,4deefc054765f83613cdba6f,Food
77,Bus Station,4bf58dd8d48988d1fe931735,Not A Match
77,Laundromat,52f2ab2ebcbc57f1066b8b33,Shop & Service
77,Coffee Shop,4bf58dd8d48988d1e0931735,Food
77,Asian Restaurant,4bf58dd8d48988d142941735,Food
77,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761,Food
78,Performing Arts Venue,4bf58dd8d48988d1f2931735,Arts & Entertainment
78,Dim Sum Restaurant,4bf58dd8d48988d1f5931735,Food
78,Department Store,4bf58dd8d48988d1f6941735,Shop & Service
78,Malay Restaurant,4bf58dd8d48988d156941735,Food
78,Dog Run,4bf58dd8d48988d1e5941735,Outdoors & Recreation
78,Trail,4bf58dd8d48988d159941735,Outdoors & Recreation
78,Park,4bf58dd8d48988d163941735,Outdoors & Recreation
78,Noodle House,4bf58dd8d48988d1d1941735,Food
78,Food Court,4bf58dd8d48988d120951735,Food
78,Coffee Shop,4bf58dd8d48988d1e0931735,Food
78,Pool,4bf58dd8d48988d15e941735,Outdoors & Recreation
78,Café,4bf58dd8d48988d16d941735,Food
78,Noodle House,4bf58dd8d48988d1d1941735,Food
78,Coffee Shop,4bf58dd8d48988d1e0931735,Food
78,Convenience Store,4d954b0ea243a5684a65b473,Shop & Service
78,Concert Hall,5032792091d4c4b30a586d5c,Arts & Entertainment
78,Bus Station,4bf58dd8d48988d1fe931735,Not A Match
79,Park,4bf58dd8d48988d163941735,Outdoors & Recreation
79,Garden,4bf58dd8d48988d15a941735,Outdoors & Recreation
79,Scenic Lookout,4bf58dd8d48988d165941735,Outdoors & Recreation
79,Zoo Exhibit,58daa1558bbb0b01f18ec1fd,Arts & Entertainment
80,Vietnamese Restaurant,4bf58dd8d48988d14a941735,Food
80,Coffee Shop,4bf58dd8d48988d1e0931735,Food
80,Asian Restaurant,4bf58dd8d48988d142941735,Food
80,Theme Park,4bf58dd8d48988d182941735,Arts & Entertainment
80,Kebab Restaurant,5283c7b4e4b094cb91ec88d7,Food
80,Food Court,4bf58dd8d48988d120951735,Food
80,Ice Cream Shop,4bf58dd8d48988d1c9941735,Food
81,Bagel Shop,4bf58dd8d48988d179941735,Food
81,Discount Store,52dea92d3cf9994f4e043dbb,Shop & Service
81,Hotel,4bf58dd8d48988d1fa931735,Not A Match
81,Coffee Shop,4bf58dd8d48988d1e0931735,Food
81,Gym / Fitness Center,4bf58dd8d48988d175941735,Outdoors & Recreation
81,Sushi Restaurant,4bf58dd8d48988d1d2941735,Food
